,MSFT,V,WMT
1,44.259998,69.660004,64.839996
2,52.639999,77.580002,57.240002
3,54.349998,79.010002,58.84
4,55.48,77.550003,61.299999
5,55.09,74.489998,66.360001
6,50.880001,72.389999,66.339996
7,55.23,76.480003,68.489998
8,49.869999,77.239998,66.870003
9,53,78.940002,70.779999
10,51.169998,74.169998,73.019997
11,56.68,78.050003,72.970001
12,57.459999,80.900002,71.440002
13,57.599998,82.699997,72.120003
14,59.919998,82.510002,70.019997
15,60.259998,77.32,70.43
16,62.139999,78.019997,69.120003
17,64.650002,82.709999,66.739998
18,63.98,87.940002,70.93
19,65.860001,88.870003,72.080002
20,68.459999,91.220001,75.18
21,69.839996,95.230003,78.599998
22,68.93,93.779999,75.68
23,72.699997,99.559998,79.989998
24,74.769997,103.519997,78.07
